Date,Machine_ID,Maintenance_Type,Maintenance_Cost,Downtime_Minutes,Maintenance_Backlog_Count,Spare_Part_Name,Spare_Part_Stock,Breakdown_Reason,MTBF (hours),MTTR (hours),Next_Service_Date,Technician_Name,Technician_Score
2023-04-23,M001,Reactive,4905,60,0,Motor,31,Overload,885,6.82,2023-07-05,Catherine Shaw,5
2025-04-27,M003,Preventive,2985,204,1,Belt,62,Wear,347,9.46,2025-07-15,Kayla Andersen,4
2023-07-02,M003,Preventive,3219,162,1,Gearbox,42,None,772,6.22,2023-09-10,Chloe Carpenter,5
2023-12-10,M002,Reactive,548,265,1,Gearbox,8,Overload,459,4.29,2024-02-21,Jack Haney,3
2022-12-18,M004,Preventive,4670,96,1,Belt,88,Wear,115,9.88,2023-01-30,Anne Harris,1
2023-11-12,M003,Preventive,2500,252,3,Belt,10,Wear,393,6.01,2023-12-31,Michael Schwartz,5
2023-11-05,M004,Preventive,2694,221,2,Gearbox,88,Wear,897,9.17,2023-12-10,Jesse Foster,1
2023-01-22,M005,Preventive,4552,158,1,Motor,39,Electrical Fault,873,8.42,2023-04-11,Richard Adams,2
2022-11-13,M002,Preventive,673,148,2,Gearbox,25,Electrical Fault,199,1.0,2023-01-16,Stephen Diaz,4
2022-07-31,M005,Reactive,4591,225,1,Belt,16,Electrical Fault,892,1.24,2022-09-18,Matthew Johnson,4
2023-03-26,M004,Preventive,2941,187,4,Gearbox,20,None,296,3.59,2023-06-03,Brad Pittman,3
2024-10-20,M005,Preventive,1418,157,3,Bearing,10,Wear,428,3.75,2024-12-29,Eduardo Jackson,5
2025-04-27,M001,Preventive,4709,144,1,Motor,70,None,889,6.65,2025-06-19,Adam Thomas,4
2024-06-30,M004,Preventive,1617,63,2,Gearbox,60,Electrical Fault,925,9.61,2024-08-30,Rhonda Ray,2
2023-08-13,M001,Preventive,4974,138,3,Sensor,87,Electrical Fault,570,6.53,2023-10-17,Anthony Walker,5
2024-01-28,M003,Preventive,923,261,0,Gearbox,9,Wear,597,3.99,2024-03-01,Teresa Byrd,2
2024-09-15,M004,Preventive,2594,264,1,Gearbox,9,None,559,6.45,2024-11-18,William Murphy,5
2025-04-06,M002,Preventive,4972,33,2,Motor,19,Electrical Fault,365,4.69,2025-07-02,Tiffany Diaz,2
2023-11-26,M003,Preventive,1168,189,2,Gearbox,86,Overload,508,1.73,2024-01-01,Michelle Bailey,1
2023-08-06,M005,Preventive,4421,93,4,Belt,31,Overload,786,1.04,2023-09-09,Jason Davidson,4
2023-09-10,M004,Preventive,3414,190,3,Belt,62,Wear,362,2.06,2023-10-23,Brandi George MD,5
2024-01-14,M005,Preventive,2040,185,3,Belt,82,Electrical Fault,813,2.21,2024-03-22,Matthew Duncan,1
2025-03-23,M001,Reactive,2487,295,4,Motor,29,Wear,211,7.17,2025-06-17,Deanna Mcgee,2
2022-09-04,M004,Preventive,4247,279,0,Belt,87,Overload,241,3.47,2022-11-27,Alan Sims,3
2024-11-03,M004,Reactive,1084,41,2,Gearbox,79,Overload,743,2.83,2024-12-19,David Johnson,3
2023-01-01,M005,Preventive,3699,37,1,Belt,76,Overload,357,4.3,2023-03-03,Ronald Fletcher,4
2023-01-29,M001,Preventive,3707,188,4,Motor,33,Overload,427,6.02,2023-03-08,Amber Robinson,5
2022-09-11,M005,Preventive,4950,110,4,Belt,93,None,425,7.36,2022-11-16,Dr. Jessica Dyer MD,4
2025-01-19,M004,Preventive,1632,265,4,Belt,15,None,101,6.59,2025-03-14,Michelle Obrien,2
2025-04-06,M005,Preventive,4057,138,2,Gearbox,87,None,826,7.02,2025-06-11,Derrick Paul,2
2022-11-20,M001,Preventive,1372,198,1,Bearing,31,None,899,3.91,2023-02-11,Kimberly Vasquez,5
2024-08-04,M005,Preventive,934,40,4,Sensor,53,Overload,400,3.47,2024-10-09,Curtis Shaffer,1
2023-11-12,M002,Preventive,1504,126,4,Gearbox,22,None,374,4.92,2024-01-01,Brittany Carroll,1
2023-09-24,M004,Reactive,4488,243,1,Belt,75,Electrical Fault,737,2.84,2023-11-16,Alyssa Nichols,1
2025-02-23,M001,Preventive,1906,265,3,Gearbox,39,Wear,157,5.68,2025-04-27,Richard Oneal,1
2024-12-29,M005,Preventive,2602,90,2,Bearing,42,Wear,943,3.87,2025-03-23,Toni Espinoza,4
2022-11-27,M004,Reactive,3049,261,0,Sensor,15,Electrical Fault,101,1.26,2023-02-06,Matthew Medina,3
2023-01-08,M003,Preventive,2078,88,4,Bearing,93,Electrical Fault,880,8.07,2023-02-14,Chelsea Thomas,2
2024-10-20,M003,Preventive,3409,134,1,Bearing,94,Wear,173,9.13,2024-11-21,Ricardo Martinez,5
2025-03-16,M002,Reactive,2919,142,0,Gearbox,31,None,471,3.1,2025-04-25,Miss Amanda Matthews,3
2022-12-11,M001,Preventive,3292,257,0,Sensor,69,Wear,403,6.55,2023-01-26,Andrew Parker,5
2024-07-28,M001,Reactive,4208,237,1,Motor,41,Wear,705,7.28,2024-10-01,Scott Garcia,2
2024-07-14,M001,Reactive,4656,130,0,Gearbox,80,Overload,334,6.0,2024-09-02,Kenneth Miller,3
2024-02-25,M004,Preventive,1747,179,4,Gearbox,7,Electrical Fault,774,6.1,2024-05-16,Jennifer Hernandez,5
2025-02-23,M005,Preventive,3035,94,0,Motor,6,None,409,3.84,2025-03-25,Teresa Todd,2
2024-08-11,M004,Reactive,813,82,0,Belt,48,Electrical Fault,118,2.72,2024-10-02,Michelle Smith,1
2023-06-25,M002,Reactive,2056,41,2,Sensor,43,Overload,451,7.14,2023-08-30,John Dawson,5
2024-01-14,M002,Preventive,1823,94,2,Belt,50,Wear,553,3.13,2024-03-14,John Singh,3
2024-05-26,M004,Preventive,3645,115,2,Sensor,16,Wear,774,5.88,2024-07-16,Tammy Townsend,5
2024-12-22,M001,Preventive,1576,148,3,Sensor,19,None,280,4.72,2025-01-26,Marcus Lane,2
2025-04-20,M003,Preventive,2689,30,2,Motor,72,Overload,679,4.6,2025-06-25,Juan Savage,2
2024-10-27,M001,Preventive,3475,280,0,Gearbox,52,Electrical Fault,229,6.31,2025-01-11,Matthew Perry,3
2022-05-22,M002,Reactive,4981,245,3,Motor,64,None,423,8.78,2022-08-17,Mary Jones,3
2022-12-25,M004,Preventive,2202,71,2,Gearbox,58,None,477,2.95,2023-02-06,Jared Gibson,5
2024-01-21,M004,Reactive,611,219,3,Bearing,7,Electrical Fault,997,1.4,2024-02-29,Lindsay Petersen,5
2023-12-17,M003,Reactive,3572,96,4,Gearbox,60,Electrical Fault,153,5.76,2024-01-21,Jennifer Jimenez,1
2022-07-24,M001,Preventive,3667,289,3,Sensor,37,Electrical Fault,768,1.51,2022-09-28,Walter Hernandez,4
2022-05-29,M004,Preventive,4095,85,1,Sensor,95,None,342,8.96,2022-08-09,Kevin Allen,5
2023-11-26,M002,Preventive,4217,58,2,Sensor,30,Overload,294,1.7,2024-01-16,Melissa Brown,5
2024-11-03,M004,Reactive,1807,77,2,Gearbox,75,Overload,320,1.87,2024-12-28,Kathryn Smith,4
2023-04-30,M005,Preventive,2212,117,0,Belt,54,None,870,6.07,2023-07-15,Elizabeth Stone,3
2024-03-24,M002,Reactive,2411,101,1,Sensor,12,Electrical Fault,227,6.96,2024-06-16,Alexander Sullivan,2
2023-01-22,M002,Reactive,3737,37,1,Belt,48,None,949,5.46,2023-03-02,Brandy Moreno,3
2025-01-05,M003,Preventive,2624,146,2,Motor,83,Overload,507,9.47,2025-02-12,Karen Gardner,2
2024-11-17,M005,Preventive,1859,156,3,Motor,47,None,394,7.85,2025-02-01,Joshua Ramos,5
2024-12-29,M005,Preventive,3059,292,2,Motor,73,Electrical Fault,402,3.46,2025-03-24,Randall Morgan,4
2023-08-20,M004,Reactive,4679,244,4,Bearing,93,Overload,354,9.49,2023-09-21,James York,3
2022-11-13,M002,Preventive,2427,285,1,Motor,16,Wear,550,3.51,2023-01-23,Victoria Gonzalez,5
2024-01-21,M002,Preventive,4645,173,2,Gearbox,81,None,683,9.9,2024-04-15,Maria Parker,4
2024-12-22,M003,Reactive,3384,153,3,Belt,26,Overload,922,2.85,2025-03-14,Jesus Sanders,4
2022-07-10,M003,Reactive,2360,105,1,Bearing,20,None,575,6.64,2022-09-28,Elizabeth Gardner,3
2022-07-24,M001,Preventive,4349,175,4,Belt,70,Overload,455,1.29,2022-10-20,Bradley Roberts,2
2024-02-11,M003,Preventive,1278,219,4,Gearbox,7,Overload,879,9.96,2024-04-12,Benjamin Walton,1
2024-07-07,M002,Preventive,4776,131,1,Belt,51,Overload,139,9.37,2024-08-17,David Freeman,1
2024-06-30,M003,Reactive,1499,219,3,Motor,82,Electrical Fault,388,1.09,2024-08-06,Sandra Reeves,3
2022-06-26,M003,Preventive,1789,188,3,Sensor,48,Wear,727,7.96,2022-07-28,Megan Rangel,5
2022-12-18,M001,Reactive,3249,72,3,Gearbox,68,Overload,130,4.7,2023-03-05,Rachel Foster,1
2022-11-13,M004,Preventive,2044,279,0,Motor,48,Electrical Fault,416,6.01,2023-01-13,Christopher Ramirez,3
2024-09-08,M003,Preventive,1638,157,1,Motor,45,None,516,6.57,2024-11-12,Joseph Porter,2
2024-09-15,M002,Reactive,3439,108,3,Gearbox,73,None,162,4.16,2024-12-09,Dakota Stewart,5
2025-01-19,M001,Preventive,4829,202,2,Motor,98,Electrical Fault,280,7.66,2025-04-18,Gregory Cannon,5
2022-09-18,M004,Preventive,3000,275,3,Belt,61,Overload,421,8.5,2022-11-21,Wesley Meadows,1
2022-07-31,M001,Preventive,3507,110,2,Belt,26,Electrical Fault,397,6.17,2022-09-26,Micheal Mcdaniel,3
2022-09-04,M002,Preventive,1819,52,0,Bearing,15,Wear,207,5.96,2022-11-16,Joshua Vazquez,2
2023-01-15,M003,Preventive,3076,235,4,Motor,75,Electrical Fault,534,1.1,2023-02-14,Erin Ramirez,2
2024-01-21,M004,Preventive,4326,134,3,Motor,14,Overload,107,5.2,2024-04-13,Christopher Allen PhD,4
2023-10-22,M002,Reactive,1448,130,2,Motor,49,Overload,255,2.7,2024-01-04,Regina Roach,1
2023-01-08,M005,Preventive,3759,239,4,Belt,9,Wear,413,5.38,2023-03-19,Jeremy Ballard,5
2024-09-08,M004,Preventive,4113,198,1,Motor,49,None,498,7.72,2024-10-13,Kathleen Case,5
2023-10-29,M001,Preventive,3072,102,1,Bearing,94,None,613,1.57,2023-12-12,Kathryn Alvarez,2
2025-04-13,M002,Preventive,1036,107,1,Sensor,13,Electrical Fault,222,9.64,2025-06-10,Amanda Hughes,5
2023-12-17,M003,Preventive,4518,51,1,Belt,34,Overload,975,8.67,2024-01-18,Lindsay Logan,1
2024-02-11,M002,Preventive,4576,142,4,Belt,9,None,229,1.94,2024-04-20,Courtney Oneill,4
2023-07-09,M003,Preventive,2365,76,4,Gearbox,50,Overload,288,6.49,2023-09-11,Jodi Brown,4
2022-12-04,M002,Preventive,1384,146,4,Sensor,93,Electrical Fault,580,7.45,2023-02-14,Heather Yu,1
2024-03-17,M002,Preventive,3004,197,3,Bearing,34,Overload,993,5.21,2024-04-23,Adrian Henderson,2
2022-11-27,M004,Preventive,4790,254,3,Motor,98,Overload,593,8.37,2023-01-21,Connie Mckay,5
2023-01-08,M004,Reactive,4464,87,2,Motor,39,Overload,460,5.59,2023-03-29,Michele Yang,4
2022-08-28,M005,Preventive,4878,208,4,Belt,84,Wear,770,4.94,2022-10-11,Karen Kaiser,1
2025-03-02,M001,Preventive,3280,107,4,Gearbox,66,None,777,3.22,2025-05-26,Taylor Walker,4
2022-05-15,M004,Preventive,4906,220,4,Bearing,60,Electrical Fault,329,6.13,2022-07-05,Travis Pope,2
2025-01-05,M002,Preventive,4556,144,2,Motor,66,Overload,494,3.59,2025-03-03,Christopher Cook,2
2024-09-15,M004,Preventive,1620,195,1,Belt,19,Electrical Fault,620,5.98,2024-11-20,Ashley Williamson,5
2023-04-23,M004,Preventive,4057,81,4,Gearbox,40,Electrical Fault,511,4.66,2023-07-02,Jeffery Stephens,4
2022-08-07,M005,Reactive,3424,190,2,Belt,52,Wear,874,2.32,2022-10-03,Steve Gonzalez,3
2024-10-06,M005,Reactive,1465,136,0,Bearing,82,Overload,590,6.33,2024-11-24,Jacob Johnson,2
2022-09-18,M004,Preventive,4921,98,0,Bearing,73,Wear,283,8.46,2022-12-08,Christine Lowery,2
2024-04-07,M004,Preventive,4755,218,2,Motor,99,None,504,8.29,2024-06-23,Shannon Jacobson,5
2024-12-22,M002,Reactive,969,199,1,Sensor,67,Electrical Fault,893,1.53,2025-02-28,Theresa Buchanan,4
2022-08-28,M001,Preventive,3509,93,1,Gearbox,71,Electrical Fault,822,3.2,2022-11-11,Kristin Cohen,4
2023-10-15,M005,Preventive,1839,105,3,Gearbox,11,Overload,366,8.81,2023-11-28,Christopher Hamilton,5
2023-10-01,M001,Preventive,760,158,2,Belt,34,Electrical Fault,794,7.66,2023-12-06,Chris Schneider,5
2024-03-31,M003,Preventive,1960,158,0,Sensor,16,None,743,3.12,2024-05-16,Heather Thompson,3
2023-09-10,M001,Preventive,3178,36,3,Belt,81,Wear,826,7.91,2023-11-11,Karla Aguilar,2
2024-03-31,M003,Preventive,3207,165,4,Belt,28,Overload,395,8.09,2024-06-07,Herbert Davis,1
2023-09-10,M003,Reactive,713,235,1,Sensor,23,None,705,4.44,2023-11-04,Amy Olson,2
2024-03-24,M004,Preventive,3502,261,1,Belt,75,Overload,326,3.14,2024-06-17,Paul Hall,3
2024-09-08,M002,Preventive,2466,158,3,Sensor,7,Electrical Fault,912,2.02,2024-10-23,Spencer Henderson,1
2023-03-26,M003,Preventive,3080,139,3,Gearbox,80,Overload,409,2.56,2023-05-28,Samuel Whitney,5
2022-08-21,M001,Reactive,3145,259,4,Bearing,23,Electrical Fault,480,9.75,2022-11-04,Anna Faulkner,2
2025-03-16,M001,Preventive,1754,144,0,Gearbox,75,Overload,923,7.62,2025-05-14,Tiffany Adams,1
2024-11-24,M004,Preventive,3552,163,4,Gearbox,95,Wear,387,8.05,2025-01-21,Stephanie Cunningham,3
2024-02-25,M002,Preventive,3363,185,0,Gearbox,5,Electrical Fault,219,1.93,2024-03-28,Cynthia Francis,2
2025-03-16,M001,Preventive,3245,91,0,Sensor,42,None,903,3.69,2025-05-03,Sean Barrera,1
2023-02-26,M003,Preventive,3098,154,4,Sensor,9,Electrical Fault,101,8.95,2023-05-13,Elizabeth Carpenter,4
2023-03-26,M004,Preventive,3750,56,4,Sensor,26,Overload,367,6.6,2023-04-30,Ashley Velez,4
2023-07-09,M005,Preventive,3777,179,0,Sensor,79,Wear,356,3.94,2023-08-22,Kim Bartlett,5
2025-04-20,M004,Preventive,1685,84,0,Belt,92,Wear,637,9.95,2025-06-21,Christine Rivera,3
2022-10-30,M004,Preventive,1880,127,3,Motor,13,Overload,811,2.78,2023-01-19,Sandra Lawrence,5
2024-09-22,M002,Reactive,3303,141,4,Belt,79,Wear,875,4.67,2024-11-03,Madison Swanson,4
2022-10-02,M005,Preventive,4522,113,3,Gearbox,60,Overload,336,3.78,2022-12-12,Kyle Smith,2
2024-04-07,M004,Preventive,779,106,1,Sensor,96,None,925,6.2,2024-06-01,Ivan Parker,5
2022-07-17,M005,Preventive,4875,212,1,Belt,58,Overload,609,5.46,2022-08-24,Craig Meyer,1
2025-01-12,M002,Reactive,652,288,2,Gearbox,8,None,609,4.68,2025-03-19,Suzanne Smith,4
2023-08-13,M003,Preventive,3843,42,0,Motor,5,Wear,387,7.37,2023-10-25,Adam Torres,5
2022-10-09,M003,Preventive,4693,288,4,Gearbox,66,Electrical Fault,515,5.39,2022-12-03,Jaime Cherry,2
2024-01-21,M004,Reactive,3662,101,4,Bearing,22,Wear,631,5.87,2024-02-21,Jill Morrow,2
2023-11-12,M002,Reactive,1601,269,3,Bearing,82,Electrical Fault,238,2.12,2024-01-19,David Wells,4
2022-10-23,M001,Reactive,2617,183,4,Sensor,73,Wear,444,6.12,2022-12-14,Jason Calderon,5
2024-02-11,M001,Preventive,4412,275,1,Motor,64,Wear,569,6.54,2024-03-27,Steven Leon,3
2023-10-01,M005,Reactive,911,274,1,Gearbox,95,None,962,2.83,2023-12-06,George Gutierrez,5
2024-10-06,M001,Reactive,1750,249,3,Bearing,44,Electrical Fault,780,5.17,2024-11-26,Amy Ferguson MD,1
2023-07-30,M005,Reactive,2110,31,4,Sensor,12,None,651,2.23,2023-10-17,Brandon Russell,2
2022-12-11,M001,Preventive,2321,134,2,Gearbox,82,Electrical Fault,149,3.05,2023-01-27,Brian Davis,1
2022-12-25,M004,Preventive,526,121,1,Motor,28,Wear,448,3.47,2023-01-27,Tonya Edwards,2
2022-11-06,M002,Preventive,2275,116,0,Sensor,62,Overload,651,3.46,2023-01-06,Mark Macias,3
2023-07-16,M001,Preventive,1788,278,0,Belt,20,Overload,333,8.19,2023-09-12,Stephen Campbell,1
2024-01-14,M005,Preventive,4706,138,3,Gearbox,89,Wear,369,8.87,2024-04-09,Chad Gibbs,4
2023-06-25,M002,Preventive,2514,293,1,Motor,70,None,608,8.7,2023-08-30,Monica Washington,5
2022-10-23,M003,Reactive,2788,76,0,Belt,54,Electrical Fault,431,2.04,2022-11-28,John Russell,5
2022-10-09,M002,Preventive,1153,142,1,Gearbox,90,None,407,5.77,2022-12-13,Christopher Hawkins,5
2022-07-10,M003,Preventive,2225,129,0,Sensor,89,Overload,283,5.94,2022-09-29,Brandi Wallace,4
2022-10-09,M001,Reactive,1875,176,1,Bearing,78,Electrical Fault,482,4.87,2022-12-20,Jeremy Hernandez,3
2025-02-16,M001,Preventive,1325,250,4,Motor,93,None,119,8.06,2025-03-26,Sarah Schneider,2
2022-12-04,M004,Preventive,4526,204,0,Belt,47,Electrical Fault,171,6.26,2023-02-04,Ricky Foster,2
2024-05-26,M001,Preventive,1855,282,2,Sensor,69,Electrical Fault,469,4.37,2024-07-31,Stephen Woods,3
2022-11-13,M005,Reactive,2972,168,0,Bearing,70,Overload,485,2.15,2023-01-30,Jasmine Grant,2
2024-06-16,M005,Preventive,3007,148,1,Motor,93,Wear,114,8.39,2024-09-07,Jessica Johnson,5
2025-01-19,M002,Preventive,4733,258,4,Bearing,27,Wear,402,8.55,2025-02-19,Tina Keller,4
2024-02-11,M002,Preventive,627,224,0,Gearbox,56,Wear,392,3.68,2024-05-05,Charles Foster,1
2024-09-22,M005,Preventive,2012,68,0,Belt,74,None,116,5.02,2024-12-18,Diana Williams,3
2023-10-29,M001,Preventive,2478,42,3,Motor,88,Wear,933,6.71,2023-11-28,Marc Phillips,3
2024-04-21,M003,Preventive,2404,78,4,Belt,15,None,499,9.79,2024-07-17,Jesse Novak,4
2024-12-29,M002,Preventive,4311,83,4,Sensor,97,Electrical Fault,395,9.49,2025-02-04,Joseph Greer PhD,4
2023-05-07,M004,Reactive,4432,294,1,Belt,42,Wear,145,8.34,2023-06-13,Jessica Schmitt,3
2023-02-05,M003,Preventive,1394,222,4,Bearing,62,None,791,1.33,2023-05-05,Tracy Campbell,2
2023-09-03,M003,Reactive,1853,219,3,Motor,96,Electrical Fault,246,2.14,2023-11-01,Christina Kelly,1
2025-04-20,M004,Preventive,2147,250,2,Motor,26,None,608,7.04,2025-07-16,Gregory Ray,4
2024-06-16,M005,Preventive,4131,156,4,Bearing,68,Overload,830,5.19,2024-08-02,Travis Hall,1
2025-04-13,M005,Preventive,1621,191,3,Gearbox,59,Wear,372,7.59,2025-06-17,Erica Kidd,4
2023-07-09,M002,Preventive,2160,238,3,Motor,40,None,570,8.13,2023-08-27,Justin Taylor,4
2023-03-19,M005,Reactive,4166,161,3,Sensor,96,None,410,8.11,2023-05-12,Kenneth Blackwell,4
2023-07-02,M004,Preventive,4102,36,0,Sensor,93,None,458,3.94,2023-09-25,Carrie Allen,5
2022-07-31,M002,Preventive,4206,33,2,Bearing,25,None,291,3.53,2022-10-24,Valerie Wang,4
2022-07-03,M002,Reactive,565,53,3,Gearbox,97,None,101,1.34,2022-08-03,Keith Jones,4
2023-04-16,M003,Reactive,2930,256,2,Bearing,96,Electrical Fault,339,8.91,2023-05-28,Taylor Lucero,5
2025-04-06,M003,Preventive,873,298,3,Bearing,88,Wear,575,2.99,2025-05-16,John Cooper,1
2023-11-26,M003,Reactive,4634,179,1,Belt,23,Wear,248,4.17,2023-12-26,Shirley Fox,2
2024-11-10,M004,Preventive,1355,154,1,Gearbox,97,Overload,167,2.12,2025-01-17,Morgan Aguilar,3
2025-04-06,M003,Reactive,2345,180,2,Gearbox,45,Overload,362,6.1,2025-05-14,Michael Reid,2
2024-03-03,M002,Preventive,4041,149,2,Gearbox,89,Wear,485,1.04,2024-04-16,Francisco Turner,1
2024-04-07,M001,Preventive,2038,150,1,Sensor,44,Electrical Fault,310,2.36,2024-06-26,Robert Ingram,5
2023-11-19,M003,Reactive,4786,279,1,Gearbox,78,Electrical Fault,937,2.19,2024-01-07,Mindy Chavez,5
2022-10-30,M003,Preventive,2075,115,1,Motor,46,Overload,663,8.38,2022-12-09,Vincent Holloway,3
2023-10-08,M002,Reactive,1541,224,0,Bearing,22,None,848,7.56,2023-12-01,Scott Rangel,3
2023-04-09,M004,Preventive,1649,72,1,Motor,66,Electrical Fault,940,8.66,2023-06-10,Albert Arnold,5
2022-10-23,M001,Preventive,4230,84,3,Belt,41,Wear,183,9.49,2022-12-26,Teresa Long,5
2023-06-11,M003,Preventive,3891,280,2,Sensor,62,None,149,6.26,2023-08-28,James Gray,1
2024-08-04,M001,Preventive,2928,160,4,Gearbox,55,Wear,488,2.41,2024-10-28,John Sullivan,1
2022-07-03,M002,Preventive,2535,163,1,Motor,9,Wear,263,9.92,2022-09-22,Nicole Baker,2
2023-12-24,M005,Reactive,3145,151,0,Gearbox,94,Overload,908,6.11,2024-02-02,Holly Johnson,4
2024-05-19,M001,Preventive,4992,254,4,Belt,36,Electrical Fault,874,5.11,2024-08-16,Lori James,1
2022-06-26,M003,Preventive,4251,98,1,Sensor,84,Overload,370,4.0,2022-09-22,Timothy Cruz,4
2024-07-07,M002,Preventive,4024,97,1,Bearing,68,Overload,618,2.0,2024-08-08,Brenda Cole,5
2023-10-08,M001,Reactive,1267,96,1,Bearing,50,Overload,478,9.92,2023-11-28,Noah Walker,2
2025-02-23,M005,Preventive,1517,216,1,Sensor,67,Wear,120,7.23,2025-05-07,Melinda Silva,5
2023-12-24,M004,Preventive,1322,115,3,Motor,10,Wear,186,1.41,2024-02-19,John Robertson,4
2022-07-10,M004,Preventive,1610,92,1,Bearing,56,Electrical Fault,134,4.43,2022-08-21,Amanda Bryant,2
2022-06-19,M005,Reactive,3870,263,1,Belt,35,Overload,297,9.54,2022-07-29,Debra Nunez,3
2024-09-29,M004,Reactive,2212,196,2,Gearbox,68,Wear,142,8.38,2024-12-25,Brandon Guerra,2
2025-01-26,M005,Preventive,1402,115,1,Gearbox,86,Electrical Fault,987,5.89,2025-04-22,Susan Hatfield,1
2024-02-18,M001,Reactive,2247,241,4,Motor,43,None,794,9.31,2024-03-26,Mary Welch,3
2022-06-12,M003,Preventive,2760,142,4,Belt,85,Overload,851,2.59,2022-07-30,Robert Bryant,3
2023-01-08,M004,Preventive,1999,237,4,Bearing,40,Overload,592,6.13,2023-02-11,Joshua Freeman,1
2023-08-06,M001,Preventive,4207,114,1,Belt,60,Electrical Fault,131,7.67,2023-09-10,Haley Marquez,3
2023-01-29,M002,Reactive,4498,123,1,Belt,45,None,989,1.97,2023-04-15,Jason Ho,4
2024-12-29,M002,Preventive,1814,200,0,Gearbox,38,None,208,9.23,2025-02-15,Jason Bender,3
2023-03-12,M002,Reactive,823,112,4,Gearbox,88,None,553,4.55,2023-06-02,Matthew Perez,4
2024-12-15,M002,Preventive,1246,298,0,Gearbox,92,Wear,181,8.66,2025-01-16,Jerry Rice,3
2022-12-04,M003,Reactive,1739,259,1,Sensor,7,Wear,136,9.18,2023-01-04,Christopher Moore,3
2023-04-09,M005,Preventive,3058,133,3,Bearing,32,Wear,141,2.45,2023-06-05,Jean Daniels,4
2022-10-23,M004,Preventive,4249,37,4,Gearbox,47,Electrical Fault,407,8.74,2022-12-27,Kyle Watson,1
2023-07-02,M003,Reactive,2065,228,4,Sensor,65,Wear,745,5.41,2023-08-24,Bradley Kim,3
2024-11-03,M002,Preventive,714,56,2,Belt,5,None,727,9.36,2024-12-21,Joshua Rodgers,1
2022-05-29,M004,Preventive,3554,88,1,Motor,73,None,455,4.54,2022-07-22,Brandon Espinoza,1
2025-03-30,M005,Reactive,2281,78,0,Gearbox,49,Electrical Fault,512,2.73,2025-06-07,Roy Barajas,2
2025-04-20,M001,Reactive,2178,285,1,Bearing,96,None,258,3.07,2025-06-09,John Young,1
2025-02-16,M004,Preventive,3445,53,3,Bearing,39,Electrical Fault,729,4.59,2025-04-16,Aaron Robinson,5
2024-01-07,M005,Preventive,4802,115,0,Motor,62,Wear,604,6.54,2024-03-22,Heather Golden,1
2022-11-27,M001,Preventive,2258,47,4,Sensor,70,None,539,8.18,2023-01-05,Frederick Levy,3
2024-10-06,M005,Reactive,1411,68,4,Sensor,37,None,492,6.3,2024-12-12,Hannah Duncan,4
2022-05-22,M005,Reactive,1668,48,1,Sensor,40,Wear,550,4.65,2022-07-11,Jason Martin,1
2022-06-26,M001,Preventive,2621,257,4,Belt,15,Wear,664,3.32,2022-09-14,Cheryl Johnson,3
2022-07-17,M002,Preventive,2585,94,1,Bearing,23,None,442,4.75,2022-09-26,Megan Woodard,2
2022-05-22,M004,Preventive,1878,78,4,Bearing,98,None,192,5.18,2022-08-15,Stephanie Dixon,2
2024-09-15,M001,Preventive,1306,101,2,Motor,86,Overload,357,1.76,2024-10-26,Megan Santiago,2
2023-09-03,M004,Preventive,2022,276,0,Sensor,45,None,363,6.42,2023-10-12,Julie Castillo,3
2024-09-08,M003,Reactive,890,106,1,Motor,68,Electrical Fault,293,2.61,2024-11-08,Abigail Carr,4
2022-11-20,M005,Reactive,3380,221,2,Motor,23,Overload,797,6.96,2023-01-06,Brittany Lloyd,3
2023-02-19,M002,Preventive,1687,126,2,Sensor,12,Electrical Fault,493,4.76,2023-04-20,Brittany Boyd,1
2024-11-10,M001,Reactive,3446,255,4,Motor,88,Wear,889,2.33,2025-01-20,Christopher Murillo,5
2025-01-19,M001,Reactive,2692,94,1,Gearbox,55,Overload,238,7.95,2025-04-04,Mary Elliott,5
2022-05-15,M001,Preventive,4836,233,1,Gearbox,13,None,727,8.07,2022-06-15,Caitlin Carlson,3
2023-04-09,M005,Preventive,3977,98,3,Bearing,37,Wear,767,2.46,2023-05-24,Bryan Wilson,4
2023-01-08,M002,Preventive,540,280,0,Sensor,9,Wear,574,4.13,2023-03-26,Jack Brown,5
2023-05-21,M005,Preventive,1054,263,1,Sensor,81,None,890,4.52,2023-07-29,Elizabeth Hernandez,5
2023-12-17,M004,Preventive,3850,238,3,Bearing,84,None,869,7.34,2024-02-25,Philip Wilkins,2
2024-07-28,M001,Preventive,2971,102,1,Belt,67,Wear,267,4.66,2024-09-23,Sarah Martin,3
2023-06-11,M004,Preventive,4606,73,4,Belt,37,Electrical Fault,579,5.22,2023-08-11,Jon Howard,5
2023-10-29,M004,Reactive,3083,242,4,Bearing,78,Electrical Fault,935,8.04,2024-01-19,Margaret Anderson,1
2022-12-25,M002,Reactive,4786,269,0,Gearbox,17,Overload,658,4.9,2023-03-21,Robert Miller Jr.,4
2022-10-09,M003,Preventive,560,97,2,Sensor,68,Overload,580,2.55,2022-12-11,Scott Simpson,2
2024-03-03,M001,Preventive,4941,194,1,Bearing,89,Overload,986,5.72,2024-04-06,Paula Wilson,5
2025-01-26,M003,Preventive,1445,92,0,Belt,59,Electrical Fault,579,6.54,2025-04-07,Jillian Reed,5
